2025-07-21T15:38:28.720953: PreToolUse hook triggered - Tool: TestTool, Session: test-ses...
2025-07-25T08:51:03.091877: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:51:03.091923: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:51:03.095333: Framework not available: No module named 'yaml'
2025-07-25T08:51:03.095525: Restored CLAUDE.md from static backup
2025-07-25T08:51:07.467653: PreToolUse hook triggered - Tool: Edit, Session: e62d3f3f...
2025-07-25T08:51:07.467853: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:51:07.468413: Processing 104 lines from transcript
2025-07-25T08:51:07.468473: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:51:07.468516: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:51:07.471630: Framework not available: No module named 'yaml'
2025-07-25T08:51:07.471811: Restored CLAUDE.md from static backup
2025-07-25T08:51:11.229324: PreToolUse hook triggered - Tool: Edit, Session: e62d3f3f...
2025-07-25T08:51:11.229508: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:51:11.230146: Processing 109 lines from transcript
2025-07-25T08:51:11.230198: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:51:11.230235: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:51:11.233329: Framework not available: No module named 'yaml'
2025-07-25T08:51:11.233496: Restored CLAUDE.md from static backup
2025-07-25T08:52:59.630804: PreToolUse hook triggered - Tool: TodoWrite, Session: e62d3f3f...
2025-07-25T08:52:59.631424: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:52:59.632514: Processing 117 lines from transcript
2025-07-25T08:52:59.632589: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:52:59.632665: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:52:59.638793: Framework not available: No module named 'yaml'
2025-07-25T08:52:59.639167: Restored CLAUDE.md from static backup
2025-07-25T08:53:06.079704: PreToolUse hook triggered - Tool: TodoWrite, Session: e62d3f3f...
2025-07-25T08:53:06.079868: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:53:06.080614: Processing 123 lines from transcript
2025-07-25T08:53:06.080670: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:53:06.080721: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:53:06.083844: Framework not available: No module named 'yaml'
2025-07-25T08:53:06.084010: Restored CLAUDE.md from static backup
2025-07-25T08:53:44.943849: PreToolUse hook triggered - Tool: Write, Session: e62d3f3f...
2025-07-25T08:53:44.944959: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:53:44.945735: Processing 128 lines from transcript
2025-07-25T08:53:44.949743: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:53:44.949809: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:53:44.953526: Framework not available: No module named 'yaml'
2025-07-25T08:53:44.953711: Restored CLAUDE.md from static backup
2025-07-25T08:53:49.911801: PreToolUse hook triggered - Tool: TodoWrite, Session: e62d3f3f...
2025-07-25T08:53:49.911966: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:53:49.912722: Processing 133 lines from transcript
2025-07-25T08:53:49.912781: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:53:49.912832: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:53:49.916133: Framework not available: No module named 'yaml'
2025-07-25T08:53:49.916317: Restored CLAUDE.md from static backup
2025-07-25T08:53:59.498797: PreToolUse hook triggered - Tool: Write, Session: e62d3f3f...
2025-07-25T08:53:59.498989: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:53:59.499772: Processing 139 lines from transcript
2025-07-25T08:53:59.499830: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:53:59.499886: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:53:59.502999: Framework not available: No module named 'yaml'
2025-07-25T08:53:59.503183: Restored CLAUDE.md from static backup
2025-07-25T08:54:08.649498: PreToolUse hook triggered - Tool: Write, Session: e62d3f3f...
2025-07-25T08:54:08.649979: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:54:08.650850: Processing 144 lines from transcript
2025-07-25T08:54:08.650920: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:54:08.650977: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:54:08.654229: Framework not available: No module named 'yaml'
2025-07-25T08:54:08.654397: Restored CLAUDE.md from static backup
2025-07-25T08:54:19.825134: PreToolUse hook triggered - Tool: Write, Session: e62d3f3f...
2025-07-25T08:54:19.825331: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:54:19.826160: Processing 149 lines from transcript
2025-07-25T08:54:19.826231: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:54:19.826288: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:54:19.829348: Framework not available: No module named 'yaml'
2025-07-25T08:54:19.829512: Restored CLAUDE.md from static backup
2025-07-25T08:54:23.371960: PreToolUse hook triggered - Tool: Bash, Session: e62d3f3f...
2025-07-25T08:54:23.372157: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:54:23.372913: Processing 154 lines from transcript
2025-07-25T08:54:23.372973: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:54:23.373020: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:54:23.376038: Framework not available: No module named 'yaml'
2025-07-25T08:54:23.376205: Restored CLAUDE.md from static backup
2025-07-25T08:54:48.587588: PreToolUse hook triggered - Tool: Write, Session: e62d3f3f...
2025-07-25T08:54:48.587755: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:54:48.588497: Processing 160 lines from transcript
2025-07-25T08:54:48.588556: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:54:48.588623: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:54:48.591789: Framework not available: No module named 'yaml'
2025-07-25T08:54:48.591984: Restored CLAUDE.md from static backup
2025-07-25T08:54:54.885984: PreToolUse hook triggered - Tool: TodoWrite, Session: e62d3f3f...
2025-07-25T08:54:54.886153: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:54:54.886921: Processing 165 lines from transcript
2025-07-25T08:54:54.886979: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:54:54.887033: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:54:54.890143: Framework not available: No module named 'yaml'
2025-07-25T08:54:54.890325: Restored CLAUDE.md from static backup
2025-07-25T08:55:35.489463: PreToolUse hook triggered - Tool: Write, Session: e62d3f3f...
2025-07-25T08:55:35.489639: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:55:35.490423: Processing 171 lines from transcript
2025-07-25T08:55:35.490477: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:55:35.490533: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:55:35.493563: Framework not available: No module named 'yaml'
2025-07-25T08:55:35.493729: Restored CLAUDE.md from static backup
2025-07-25T08:56:37.863260: PreToolUse hook triggered - Tool: Write, Session: e62d3f3f...
2025-07-25T08:56:37.863430: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:56:37.864276: Processing 176 lines from transcript
2025-07-25T08:56:37.864344: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:56:37.864400: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:56:37.867439: Framework not available: No module named 'yaml'
2025-07-25T08:56:37.867608: Restored CLAUDE.md from static backup
2025-07-25T08:56:43.855844: PreToolUse hook triggered - Tool: TodoWrite, Session: e62d3f3f...
2025-07-25T08:56:43.856209: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T08:56:43.857007: Processing 181 lines from transcript
2025-07-25T08:56:43.857064: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T08:56:43.857111: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T08:56:43.860437: Framework not available: No module named 'yaml'
2025-07-25T08:56:43.860628: Restored CLAUDE.md from static backup
2025-07-25T11:00:28.148529: PreToolUse hook triggered - Tool: TodoWrite, Session: e62d3f3f...
2025-07-25T11:00:28.149445: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T11:00:28.152878: Processing 189 lines from transcript
2025-07-25T11:00:28.152977: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T11:00:28.153045: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T11:00:28.159959: Framework not available: No module named 'yaml'
2025-07-25T11:00:28.160414: Restored CLAUDE.md from static backup
2025-07-25T11:00:35.247165: PreToolUse hook triggered - Tool: TodoWrite, Session: e62d3f3f...
2025-07-25T11:00:35.247619: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T11:00:35.249851: Processing 195 lines from transcript
2025-07-25T11:00:35.249921: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
2025-07-25T11:00:35.249980: Found user prompt: '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...' (length: 401)
2025-07-25T11:00:35.255187: Framework not available: No module named 'yaml'
2025-07-25T11:00:35.255506: Restored CLAUDE.md from static backup
2025-07-25T11:00:45.192154: PreToolUse hook triggered - Tool: Write, Session: e62d3f3f...
2025-07-25T11:00:45.192594: CLAUDE.md appears to be static fallback, allowing re-processing
2025-07-25T11:00:45.194817: Processing 201 lines from transcript
2025-07-25T11:00:45.194890: Found user message (string format): '@README.md this readme has been updated for the code-agent c li tool @src/code_agent/ but I want to ...'
